집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
2024-01-14,0,2,18,0,65283,819,2218,1050,1315,2902,73587
2024-01-14,0,2,45,0,39333,204,1442,694,1307,1197,44177
2024-01-14,0,2,34,0,60995,418,1397,286,254,2072,65422
2024-01-14,0,2,28,0,47688,418,413,131,128,2471,51249
2024-01-14,0,2,37,0,10170,119,221,434,792,663,12399
2024-01-14,0,2,48,0,32337,437,250,200,403,1691,35318
2024-01-14,0,2,1,0,124429,780,4974,1824,2077,3003,137087
2024-01-14,0,2,49,0,51696,1032,702,1211,331,2295,57267
2024-01-14,0,2,46,0,4284,55,193,111,160,133,4936
2024-01-14,0,2,11,0,78873,688,1090,609,442,3630,85332
2024-01-14,0,2,2,0,104215,925,1346,1296,1083,3244,112109
2024-01-14,1,1,0,0,189216,1892,4846,4344,1096,22221,223615
2024-01-14,1,1,0,1,32840,341,544,478,159,4255,38617
2024-01-14,1,1,8,0,7789,48,86,245,81,1018,9267
2024-01-14,1,1,8,1,8673,19,27,0,1,35,8755
2024-01-14,1,1,26,1,6917,29,45,13,13,757,7774
2024-01-14,1,1,44,0,5125,85,93,109,41,725,6178
2024-01-14,1,1,44,1,305,2,1,1,0,34,343
2024-01-14,1,1,42,1,7437,63,134,29,80,443,8186
2024-01-14,1,1,43,1,3397,29,41,77,13,419,3976
2024-01-14,1,1,24,1,6006,25,134,0,0,48,6213
2024-01-14,1,1,10,0,5382,42,104,138,19,525,6210
2024-01-14,1,1,10,1,284,2,4,4,1,42,337
2024-01-14,1,1,18,0,4045,40,154,156,39,497,4931
2024-01-14,1,1,45,0,714,11,29,61,3,53,871
2024-01-14,1,1,34,0,1996,26,39,48,4,210,2323
2024-01-14,1,1,28,0,3720,30,29,34,10,476,4299
2024-01-14,1,1,37,0,1057,2,34,47,13,218,1371
2024-01-14,1,1,48,0,811,22,19,19,11,137,1019
2024-01-14,1,1,1,0,2468,21,70,79,32,253,2923
2024-01-14,1,1,49,0,927,23,54,75,1,173,1253
2024-01-14,1,1,46,0,262,0,5,8,3,35,313
2024-01-14,1,1,11,0,7008,71,134,126,34,932,8305
2024-01-14,1,1,2,0,6133,56,124,157,35,647,7152
2024-01-14,1,2,0,0,2031116,18807,45928,18546,20248,76904,2211549
2024-01-14,1,2,0,1,432431,3314,6734,2907,2847,19908,468141
2024-01-14,1,2,27,1,32147,87,105,82,63,1659,34143
2024-01-14,1,2,8,0,76277,335,806,242,1088,3071,81819
2024-01-14,1,2,8,1,5596,3,15,1,4,235,5854
2024-01-14,1,2,26,1,14272,33,95,0,4,1078,15482
2024-01-14,1,2,44,0,64583,836,1164,453,345,3778,71159
2024-01-14,1,2,44,1,3706,5,86,4,1,168,3970
2024-01-14,1,2,43,1,49511,323,218,173,343,2052,52620
2024-01-14,1,2,10,0,85963,416,1449,482,234,3046,91590
2024-01-14,1,2,10,1,4143,20,15,19,8,226,4431
2024-01-14,1,2,18,0,64080,784,2080,1007,1288,2751,71990
2024-01-14,1,2,45,0,39040,199,1426,666,1272,1179,43782
2024-01-14,1,2,34,0,63572,424,1327,278,252,2116,67969
2024-01-14,1,2,28,0,46556,428,440,117,116,2452,50109
2024-01-14,1,2,37,0,10177,103,219,325,293,650,11767
2024-01-14,1,2,48,0,34253,456,252,208,418,1768,37355
2024-01-14,1,2,1,0,117849,692,4806,1708,2079,2863,129997
2024-01-14,1,2,49,0,51289,1038,677,1204,335,2292,56835
2024-01-14,1,2,46,0,5036,60,200,132,150,152,5730
2024-01-14,1,2,11,0,78082,615,1164,553,392,3660,84466
2024-01-14,1,2,2,0,102541,898,1355,1264,991,3234,110283
2024-01-06,0,1,0,0,195916,3890,13035,10292,3427,1833,228393
2024-01-06,0,1,0,1,38840,811,1466,946,424,5008,47495
2024-01-06,0,1,8,0,8936,84,398,287,225,51,9981
2024-01-06,0,1,8,1,7581,0,66,8,17,28,7700
2024-01-06,0,1,26,1,5944,46,129,113,73,622,6927
2024-01-06,0,1,44,0,4530,172,337,256,174,757,6226
2024-01-06,0,1,44,1,288,2,3,3,0,40,336
2024-01-06,0,1,42,1,12093,181,313,131,560,727,14005
2024-01-06,0,1,43,1,1017,13,20,16,10,9,1085
2024-01-06,0,1,10,0,6163,141,173,156,14,19,6666
2024-01-06,0,1,10,1,345,5,11,7,4,44,416
2024-01-06,0,1,18,0,4640,130,529,451,186,22,5958
2024-01-06,0,1,45,0,474,24,74,98,17,51,738
2024-01-06,0,1,34,0,2428,34,63,64,37,13,2639
2024-01-06,0,1,28,0,4391,57,81,70,18,365,4982
2024-01-06,0,1,37,0,1302,33,143,286,83,23,1870
2024-01-06,0,1,48,0,809,59,171,93,40,140,1312
2024-01-06,0,1,1,0,2713,75,163,201,71,14,3237
2024-01-06,0,1,49,0,999,25,109,102,10,12,1257
2024-01-06,0,1,46,0,279,5,23,20,6,34,367
2024-01-06,0,1,11,0,8672,140,359,256,73,274,9774
2024-01-06,0,1,2,0,6523,141,339,244,78,62,7387
2024-01-06,0,2,0,0,2203765,40876,58255,38069,67013,85731,2493709
2024-01-06,0,2,0,1,513577,7485,8226,4871,8451,24212,566822
2024-01-06,0,2,27,1,35792,250,152,73,177,1888,38332
2024-01-06,0,2,8,0,79784,725,1215,732,4108,3522,90086
2024-01-06,0,2,8,1,4021,15,14,3,2,173,4228
2024-01-06,0,2,26,1,17618,97,103,3,22,1749,19592
2024-01-06,0,2,44,0,88817,1521,1376,936,3248,5399,101297
2024-01-06,0,2,44,1,3852,19,98,7,2,220,4198
2024-01-06,0,2,43,1,14028,100,21,26,88,571,14834
2024-01-06,0,2,24,1,4042,49,155,0,0,58,4304
2024-01-06,0,2,10,0,102717,839,1735,786,603,3774,110454
2024-01-06,0,2,10,1,4886,56,28,28,93,264,5355
2024-01-06,0,2,18,0,68840,1715,3320,2286,5316,2938,84415
2024-01-06,0,2,45,0,32314,364,1605,1459,2518,956,39216
2024-01-06,0,2,34,0,67486,802,1340,488,837,2289,73242
2024-01-06,0,2,28,0,60543,823,765,530,534,3104,66299
2024-01-06,0,2,37,0,11893,300,318,964,1377,902,15754
2024-01-06,0,2,48,0,48921,1160,693,717,2191,2483,56165
2024-01-06,0,2,1,0,121419,1368,5696,2491,3980,2751,137705
2024-01-06,0,2,49,0,70082,1656,1108,1662,1312,3118,78938
2024-01-06,0,2,46,0,5424,120,210,221,525,182,6682
2024-01-06,0,2,11,0,102105,1486,1756,1172,1599,4751,112869
2024-01-06,0,2,2,0,104721,1925,1983,2029,3092,3470,117220
2024-01-06,1,1,0,0,205838,4258,13605,11667,3576,24877,263821
2024-01-06,1,1,0,1,39965,807,1628,1109,489,5225,49223
2024-01-06,1,1,8,0,7663,106,364,477,186,1030,9826
2024-01-06,1,1,8,1,8635,35,39,19,16,31,8775
2024-01-06,1,1,26,1,7855,55,152,134,77,884,9157
2024-01-06,1,1,44,0,6651,227,388,280,154,996,8696
2024-01-06,1,1,44,1,443,4,6,4,0,42,499
2024-01-06,1,1,42,1,10523,176,293,139,523,627,12281
2024-01-06,1,1,43,1,4759,68,146,142,37,585,5737
2024-01-06,1,1,24,1,3756,37,169,0,0,53,4015
2024-01-06,1,1,10,0,5923,89,206,158,27,635,7038
2024-01-06,1,1,10,1,371,8,15,8,2,54,458
2024-01-06,1,1,18,0,4259,128,588,429,149,507,6060
2024-01-06,1,1,45,0,722,18,84,104,34,70,1032
2024-01-06,1,1,34,0,2215,35,65,63,37,241,2656
2024-01-06,1,1,28,0,4618,68,130,90,22,611,5539
2024-01-06,1,1,37,0,1213,30,156,231,81,218,1929
2024-01-06,1,1,48,0,1057,55,159,106,34,144,1555
2024-01-06,1,1,1,0,2629,49,160,178,83,250,3349
2024-01-06,1,1,49,0,1279,28,102,119,10,190,1728
2024-01-06,1,1,46,0,231,3,12,13,3,31,293
2024-01-06,1,1,11,0,8346,152,398,308,123,1057,10384
2024-01-06,1,1,2,0,6464,125,374,280,89,778,8110
2024-01-06,1,2,0,0,2221592,41798,60461,40839,73865,86953,2525508
2024-01-06,1,2,0,1,524418,7865,8621,5668,9050,24751,580373
2024-01-06,1,2,27,1,38930,221,161,121,190,2015,41638
2024-01-06,1,2,8,0,75181,766,1217,792,3675,3405,85036
2024-01-06,1,2,8,1,4800,18,12,1,8,193,5032
2024-01-06,1,2,26,1,14680,89,103,2,29,1390,16293
2024-01-06,1,2,44,0,86825,1510,1367,918,3277,5217,99114
2024-01-06,1,2,44,1,4970,35,108,9,1,249,5372
2024-01-06,1,2,43,1,65467,694,358,410,637,2817,70383
2024-01-06,1,2,10,0,98067,848,1717,726,595,3700,105653
2024-01-06,1,2,10,1,5578,58,33,35,71,308,6083
2024-01-06,1,2,18,0,68307,1740,3138,2359,5220,2937,83701
2024-01-06,1,2,45,0,32579,365,1616,1505,2564,972,39601
2024-01-06,1,2,34,0,67062,804,1332,466,829,2267,72760
2024-01-06,1,2,28,0,61092,875,803,497,557,3144,66968
2024-01-06,1,2,37,0,11494,318,321,962,1815,882,15792
2024-01-06,1,2,48,0,49946,1194,707,720,2300,2507,57374
2024-01-06,1,2,1,0,118471,1293,5586,2387,3935,2732,134404
2024-01-06,1,2,49,0,68966,1633,1078,1734,1329,3088,77828
2024-01-06,1,2,46,0,4971,118,213,212,494,154,6162
2024-01-06,1,2,11,0,97562,1445,1765,1240,1551,4609,108172
2024-01-06,1,2,2,0,106818,1930,2028,2151,3282,3515,119724
2024-01-02,0,1,0,0,174737,7212,25648,22436,6765,2089,238887
2024-01-02,0,1,0,1,35037,1365,2745,2214,869,5261,47491
2024-01-02,0,1,8,0,7960,207,790,878,602,52,10489
2024-01-02,0,1,8,1,3602,0,64,156,17,24,3863
2024-01-02,0,1,26,1,6012,98,200,198,111,711,7330
2024-01-02,0,1,44,0,4006,285,440,369,162,726,5988
